time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.0004689239,3.87491648599e-05,7.00592815495e-06,0.0,0.0,0.0,0.0468923885385,-0.00880331356482,-0.00374324141761,0.0,449.650940941917,448.74045668449367,451.10395126166173,448.9666793968794
0.04,-1.96324190623e-08,1.08585161836e-07,10.0022470298,6.28305912082,6.28312461502,0.0,-1.96324190623e-06,1.08585161836e-05,0.130918200344,-0.00408510412173,4.27170512529e-05,0.0,482.25859085952624,483.11564578869195,482.2588707152817,483.3267682443381
0.06,7.53933629477e-08,4.65490050002e-08,10.0051160456,6.28304222654,6.28314281551,0.0,1.14658201072e-05,-1.70621318672e-05,0.155983386154,-0.0154699887608,0.0059327343298,0.0,427.33384960575876,428.8371640256802,431.30913253493213,428.41544342479875
0.08,3.97381260311e-07,-6.06742978082e-07,10.0084546467,6.28274252073,7.61911449381e-05,0.0,2.07329696291e-05,-4.8267066441e-05,0.177876724576,-0.01987316124,0.00616990506199,0.0,425.42124171135356,425.4820517549455,426.9085253839598,425.78019498391745
0.1,5.90280255946e-07,-2.86084947456e-06,10.0129607605,6.28234711872,0.000208060385336,0.0,-1.44307006562e-06,-0.000177143583207,0.272734654819,-0.0219035364414,0.00205380517058,0.0,492.17519723348073,491.2604835523904,492.52694159497037,492.07639532622636
0.12000000000000001,6.26450270313e-08,-8.41307243196e-06,10.0188507078,6.28191879617,0.000275783956043,0.0,-5.13204528259e-05,-0.000378078712534,0.316260074253,-0.0263190050248,-0.00524653280722,0.0,447.76597425939536,445.9809798731427,446.80086365348603,445.71977459171615
0.14,-1.6805648465e-06,-1.92664837723e-05,10.0258130461,6.28139556593,0.000190684907854,0.0,-0.000123000534527,-0.000707262421505,0.379973750318,-0.0288289309301,0.0010513411127,0.0,464.47236873483604,465.9516111637748,465.1006866964431,464.5105664501063
0.16,-4.67671683199e-06,-3.84438747938e-05,10.0342621774,6.28085914271,0.000211772240531,0.0,-0.000176614664021,-0.00121047668064,0.464939378101,-0.0198673020832,0.000703460606222,0.0,483.9061651939115,483.82758667733304,482.47671187876807,484.5017584921675
0.18,-8.68478199644e-06,-6.78794124722e-05,10.0438455793,6.28048397329,0.000287601849559,0.0,-0.000224191852424,-0.0017330770872,0.493400816731,-0.0265271250553,-0.0104105302974,0.0,433.6033734491108,430.79365347147547,433.5454814821891,431.8638148115321
0.19999999999999998,-1.38919508472e-05,-0.000109334924457,10.054266632,6.27997475557,8.04255256437e-05,0.0,-0.000296525032656,-0.00241247411127,0.548704454084,-0.0199964620732,-0.00897227994887,0.0,456.55114380352205,456.8953479002416,457.6171306902636,459.1736516974403
0.21999999999999997,-2.00178129295e-05,-0.000165383126056,10.0657078023,6.27957617564,6.28309679317,0.0,-0.000316061175575,-0.00319234604869,0.595412577403,-0.0216392111173,-0.0135561791521,0.0,450.90660190959585,449.7945830284371,449.31868287779514,448.9190606618894
0.23999999999999996,-2.61690132294e-05,-0.000236162706221,10.0775749105,6.27918766183,6.28282606626,0.0,-0.000299058854407,-0.00388561196779,0.591298238611,-0.0310488245812,-0.0144468745221,0.0,401.08744758864805,400.8448236294642,400.42017066690875,397.8441738869502
0.25999999999999995,-3.14902678438e-05,-0.000321218589271,10.0892758552,6.27856676603,6.2825655548,0.0,-0.000233066607033,-0.00461997633722,0.578796228255,-0.0306470819261,-0.00690684425964,0.0,390.7156273404365,392.81863310325264,390.6366935254201,390.74857134951463
0.27999999999999997,-3.44893899976e-05,-0.000426005280642,10.1015718083,6.27795399809,6.28242861992,0.0,-6.68456083464e-05,-0.00585869279981,0.650799089128,-0.0300576826787,-0.00535635716784,0.0,472.02068170042133,472.37956508261726,472.882247917269,473.0181623248737
0.3,-3.41030137693e-05,-0.000555092961187,10.114903172,6.27735922302,6.28235971525,0.0,0.000105483231173,-0.00705007525476,0.682337281333,-0.0336294005776,-0.0140996380978,0.0,437.4939549825136,435.3049292025073,435.25229086034824,434.35442056124475
0.32,-2.99469293811e-05,-0.000710535722165,10.1290666065,6.27668705945,6.28208310581,0.0,0.000310125207643,-0.008494200843,0.734006167594,-0.032708058536,-0.0108183827799,0.0,454.1204820759884,454.90940573763703,454.2795870564173,454.50070948277397
0.34,-2.13495582316e-05,-0.000894539118445,10.1439574876,6.27607070309,6.2819029733,0.0,0.000549611907312,-0.00990613878503,0.75508194393,-0.0240126788964,-0.0193313316273,0.0,425.7490946985304,423.55879526786384,425.45271973881626,427.6795895370857
0.36000000000000004,-7.36943018847e-06,-0.001109239158,10.1594271074,6.27559336882,6.28151639862,0.0,0.000848400897,-0.0115638651707,0.791880033035,-0.0215963565494,-0.0196536568939,0.0,441.48489436073453,441.40515229677,439.726472188301,440.32640385746583
0.38000000000000006,1.36096351564e-05,-0.00135876284343,10.1757060327,6.27516613116,6.28112551656,0.0,0.00124950563749,-0.0133885033724,0.836012498562,-0.0246588614551,-0.0175602938607,0.0,447.2900266888805,447.80114629173715,448.140752608209,447.39342837250166
0.4000000000000001,4.38381450047e-05,-0.00164692699412,10.1930073675,6.27467311858,6.28078666259,0.0,0.00177334534733,-0.0154279116967,0.894120981208,-0.0240850094893,-0.0225305868083,0.0,460.6964570726809,459.5162009546236,460.8681264601714,461.0040919678582
